junction_id	chrom	start	end	strand	mapped_reads	sample_id	sample_type	junction_origin	normal_source	reading_frame
chr22:36500056:36501715:-	chr22	36500055	36501715	-	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36500807:36500977:-	chr22	36500806	36500977	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36601719:36669949:+	chr22	36601718	36669949	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36710584:36749270:+	chr22	36710583	36749270	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36877368:36887110:-	chr22	36877367	36887110	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36886637:36887110:-	chr22	36886636	36887110	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37028646:37041331:+	chr22	37028645	37041331	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37382536:37445989:-	chr22	37382535	37445989	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37716194:37728997:-	chr22	37716193	37728997	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37835844:37878938:+	chr22	37835843	37878938	+	11	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:37868203:37908388:-	chr22	37868202	37908388	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37908415:37915895:-	chr22	37908414	37915895	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37908415:37937672:-	chr22	37908414	37937672	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37908415:37942749:-	chr22	37908414	37942749	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37908415:37952063:-	chr22	37908414	37952063	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:37958100:38063244:-	chr22	37958099	38063244	-	8	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:37960992:38055508:+	chr22	37960991	38055508	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38165659:38183279:+	chr22	38165658	38183279	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38437872:38438007:+	chr22	38437871	38438007	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38439634:38447922:+	chr22	38439633	38447922	+	5	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:38544865:38545653:-	chr22	38544864	38545653	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38594973:38608202:-	chr22	38594972	38608202	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38630955:38672048:+	chr22	38630954	38672048	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38649654:38662088:+	chr22	38649653	38662088	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38909105:38909329:+	chr22	38909104	38909329	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:38933871:38934692:-	chr22	38933870	38934692	-	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:38970406:39165761:-	chr22	38970405	39165761	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39106096:39164368:-	chr22	39106095	39164368	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39164058:39197665:+	chr22	39164057	39197665	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39212266:39227053:+	chr22	39212265	39227053	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39303866:39304024:-	chr22	39303865	39304024	-	5	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:39303866:39389827:-	chr22	39303865	39389827	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39794668:39804349:+	chr22	39794667	39804349	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39812897:39823458:-	chr22	39812896	39823458	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:39969687:39970693:+	chr22	39969686	39970693	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40174030:40185221:-	chr22	40174029	40185221	-	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:40196055:40211356:+	chr22	40196054	40211356	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40349518:40398110:+	chr22	40349517	40398110	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40501774:40502125:-	chr22	40501773	40502125	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:40501950:40502125:-	chr22	40501949	40502125	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:40552526:40554419:-	chr22	40552525	40554419	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40578185:40688801:-	chr22	40578184	40688801	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40584936:40630206:-	chr22	40584935	40630206	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40647412:40741656:-	chr22	40647411	40741656	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40745197:40745371:-	chr22	40745196	40745371	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:40821484:40846095:-	chr22	40821483	40846095	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40822347:40969792:+	chr22	40822346	40969792	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40899591:41029366:+	chr22	40899590	41029366	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40969812:40990028:-	chr22	40969811	40990028	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:40975112:40989891:+	chr22	40975111	40989891	+	4	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:40988635:40988939:-	chr22	40988634	40988939	-	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:41031461:41110374:-	chr22	41031460	41110374	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41041721:41050974:+	chr22	41041720	41050974	+	21	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:41069950:41101194:-	chr22	41069949	41101194	-	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41086960:41099265:-	chr22	41086959	41099265	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41220473:41293563:+	chr22	41220472	41293563	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41291781:41328006:+	chr22	41291780	41328006	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41298234:41298545:-	chr22	41298233	41298545	-	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41417472:41428089:+	chr22	41417471	41428089	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41546657:41546975:+	chr22	41546656	41546975	+	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:41650248:41851636:+	chr22	41650247	41851636	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41657751:41692324:-	chr22	41657750	41692324	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41691507:41692324:-	chr22	41691506	41692324	-	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:41734781:41735377:+	chr22	41734780	41735377	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41851637:41895578:+	chr22	41851636	41895578	+	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:41855998:42014304:-	chr22	41855997	42014304	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:41986675:42008372:+	chr22	41986674	42008372	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42008751:42082478:+	chr22	42008750	42082478	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42047513:42048310:-	chr22	42047512	42048310	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42069457:42267358:-	chr22	42069456	42267358	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42201704:42230580:+	chr22	42201703	42230580	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42205919:42261865:-	chr22	42205918	42261865	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42231037:42267575:-	chr22	42231036	42267575	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42315990:42494029:-	chr22	42315989	42494029	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42375731:42382217:+	chr22	42375730	42382217	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42394887:42395242:+	chr22	42394886	42395242	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:42415459:42435978:-	chr22	42415458	42435978	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42455852:42456449:-	chr22	42455851	42456449	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42483374:42565065:-	chr22	42483373	42565065	-	34	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:42534872:42565065:-	chr22	42534871	42565065	-	34	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:42777585:42778453:-	chr22	42777584	42778453	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42777627:42844366:-	chr22	42777626	42844366	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:42926812:43139328:-	chr22	42926811	43139328	-	10	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:42926812:43177170:-	chr22	42926811	43177170	-	1612	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:42989702:43022227:+	chr22	42989701	43022227	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43033444:43113455:+	chr22	43033443	43113455	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43076537:43076886:+	chr22	43076536	43076886	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43076960:43097853:+	chr22	43076959	43097853	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43359387:43379134:+	chr22	43359386	43379134	+	7	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43374922:43379134:+	chr22	43374921	43379134	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43875765:43914037:+	chr22	43875764	43914037	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43896947:43986671:-	chr22	43896946	43986671	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:43950760:44127928:+	chr22	43950759	44127928	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44037327:44045157:+	chr22	44037326	44045157	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44037327:44064607:+	chr22	44037326	44064607	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44550587:44562642:+	chr22	44550586	44562642	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44635958:44643157:+	chr22	44635957	44643157	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44635958:44694324:+	chr22	44635957	44694324	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44665743:44684463:-	chr22	44665742	44684463	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44747594:44763355:+	chr22	44747593	44763355	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44749411:44749909:+	chr22	44749410	44749909	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:44821305:44829165:-	chr22	44821304	44829165	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45015479:45022445:+	chr22	45015478	45022445	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45161151:45161862:+	chr22	45161150	45161862	+	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:45258634:45302303:-	chr22	45258633	45302303	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45330049:45416453:+	chr22	45330048	45416453	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45364080:45365069:-	chr22	45364079	45365069	-	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45387235:45387818:+	chr22	45387234	45387818	+	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45464820:45468813:-	chr22	45464819	45468813	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45519390:45519938:+	chr22	45519389	45519938	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:45991739:46005209:-	chr22	45991738	46005209	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46182872:46210569:+	chr22	46182871	46210569	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46182937:46267031:+	chr22	46182936	46267031	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46182937:46301680:+	chr22	46182936	46301680	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46382360:46408413:-	chr22	46382359	46408413	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46384167:46422338:-	chr22	46384166	46422338	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46712004:46716720:-	chr22	46712003	46716720	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:46713274:46714039:+	chr22	46713273	46714039	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:47040223:47050282:+	chr22	47040222	47050282	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:47564296:47712074:+	chr22	47564295	47712074	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:47571439:47579321:-	chr22	47571438	47579321	-	3	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:47875837:47902450:-	chr22	47875836	47902450	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:47875840:47878770:-	chr22	47875839	47878770	-	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:47942579:47943036:+	chr22	47942578	47943036	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:48120633:48150814:+	chr22	48120632	48150814	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:48688922:48730315:+	chr22	48688921	48730315	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49171417:49187810:+	chr22	49171416	49187810	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49350366:49485143:+	chr22	49350365	49485143	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49443744:49486857:-	chr22	49443743	49486857	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49497848:49525185:-	chr22	49497847	49525185	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49497848:49537575:-	chr22	49497847	49537575	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49786969:49865549:-	chr22	49786968	49865549	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:49904883:49984723:+	chr22	49904882	49984723	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50088324:50092512:-	chr22	50088323	50092512	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50100135:50145085:+	chr22	50100134	50145085	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50125809:50133561:+	chr22	50125808	50133561	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50335626:50336098:-	chr22	50335625	50336098	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50354045:50372291:-	chr22	50354044	50372291	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50355664:50371779:+	chr22	50355663	50371779	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50356045:50363976:-	chr22	50356044	50363976	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50376064:50424872:-	chr22	50376063	50424872	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:50404457:50409792:-	chr22	50404456	50409792	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50408118:50413193:-	chr22	50408117	50413193	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50494787:50495195:+	chr22	50494786	50495195	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:50680342:50681125:+	chr22	50680341	50681125	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:50680342:50681299:+	chr22	50680341	50681299	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:50680692:50681125:+	chr22	50680691	50681125	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:50680692:50681299:+	chr22	50680691	50681299	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
